fat,len,wid,slat,slon
0,0.5,100,40.38,-94.47
0,3.69,300,41.1887,-76.4065
0,5.0,20,43.5577,-111.8378
0,1.0,170,31.7,-103.75
0,0.63,50,42.9567,-82.8224
0,1.0,30,35.28,-86.43
0,0.18,50,33.98,-103.23
0,0.5,50,38.25,-75.4
0,2.44,75,29.9071,-96.9573
0,0.2,30,42.03,-95.38
0,1.36,50,44.5256,-93.5761
0,0.1,50,43.6,-97.3
0,2.55,30,44.141,-101.704
0,8.93,75,44.38,-84.12
0,0.1,20,45.35,-122.85
0,0.1,10,32.63,-96.45
0,13.0,20,33.93,-94.47
0,3.2,25,38.97,-77.41
0,0.88,60,34.8092,-79.0624
0,0.5,50,36.97,-87.27
0,0.51,50,27.5211,-97.9681
0,0.1,30,42.1,-91.72
0,0.1,10,29.37,-82.2
0,1.82,200,47.81,-97.57
0,2.2,250,34.9536,-88.2448
0,18.0,333,33.52,-93.35
0,2.0,30,42.68,-99.18
0,0.5,50,28.92,-100.27
0,3.66,900,31.2651,-85.4106
0,0.0,0,0.0,0.0
0,0.18,25,30.7077,-91.8452
0,0.5,75,38.72,-98.85
0,0.49,75,30.751,-92.4289
0,0.1,25,35.18,-102.12
0,2.0,704,35.96,-101.81
0,10.3,250,37.4187,-90.1217
0,0.1,50,42.78,-96.1
0,0.66,75,36.14,-77.6
0,4.9,220,32.3,-94.6
0,0.2,100,36.52,-95.94
0,5.94,75,44.8689,-89.8053
0,0.1,50,39.13,-103.93
0,0.3,100,28.4,-97.75
0,0.23,100,41.1692,-85.4783
0,0.97,75,34.3751,-88.0719
0,5.66,800,31.0403,-92.1475
0,0.18,145,35.591,-78.6905
